position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,stamp,gripper_state
-0.501263,-0.409331,1.257312,-0.660701,0.051617,-0.151466,0.733395,0.000000,0.145000
-0.501333,-0.408735,1.255750,-0.660810,0.052461,-0.149993,0.733540,18060251.000000,0.145000
-0.501339,-0.408716,1.255715,-0.660813,0.052460,-0.149962,0.733543,18429805.000000,0.145000
-0.501459,-0.408354,1.255042,-0.660885,0.052449,-0.149375,0.733599,25494580.000000,0.145000
-0.501511,-0.408031,1.254161,-0.661085,0.052847,-0.148512,0.733566,33913174.000000,0.145000
-0.501551,-0.407885,1.253295,-0.661498,0.053535,-0.147944,0.733257,43405105.000000,0.145000
-0.501673,-0.407692,1.252620,-0.661906,0.053620,-0.147805,0.732911,50464399.000000,0.145000
-0.501718,-0.407370,1.251720,-0.662483,0.053953,-0.147101,0.732507,59060251.000000,0.145000
-0.501733,-0.407330,1.251633,-0.662557,0.053951,-0.147045,0.732452,60049822.000000,0.145000
-0.501840,-0.407040,1.251004,-0.663089,0.053938,-0.146636,0.732053,67190197.000000,0.145000
-0.501849,-0.407004,1.250881,-0.663213,0.053962,-0.146578,0.731950,68384935.000000,0.145000
-0.501905,-0.406799,1.250170,-0.663934,0.054103,-0.146242,0.731353,75299455.000000,0.145000
-0.501958,-0.406543,1.249399,-0.664578,0.054329,-0.145603,0.730879,85022022.000000,0.145000
-0.502030,-0.406206,1.248423,-0.665784,0.054381,-0.145111,0.729875,92603788.000000,0.145000
-0.502043,-0.406167,1.248351,-0.665885,0.054346,-0.145076,0.729793,93396236.000000,0.145000
-0.502155,-0.405848,1.247765,-0.666704,0.054065,-0.144786,0.729122,99849359.000000,0.145000
-0.502168,-0.405788,1.247574,-0.666940,0.054095,-0.144686,0.728925,101700355.000000,0.145000
-0.502217,-0.405565,1.246860,-0.667822,0.054207,-0.144311,0.728183,108633662.000000,0.145000
-0.502233,-0.405501,1.246724,-0.668020,0.054185,-0.144226,0.728019,110082437.000000,0.145000
-0.502314,-0.405179,1.246038,-0.669019,0.054074,-0.143796,0.727195,117357128.000000,0.145000
-0.502328,-0.405127,1.245946,-0.669199,0.053996,-0.143771,0.727040,118418028.000000,0.145000
-0.502418,-0.404793,1.245362,-0.670348,0.053499,-0.143608,0.726050,125195388.000000,0.145000
-0.502434,-0.404745,1.245192,-0.670578,0.053563,-0.143498,0.725854,126690914.000000,0.145000
-0.502510,-0.404527,1.244422,-0.671617,0.053857,-0.143002,0.724969,133462326.000000,0.145000
-0.502620,-0.404351,1.243588,-0.672850,0.053985,-0.142805,0.723854,142251315.000000,0.145000
-0.502633,-0.404304,1.243477,-0.673025,0.053963,-0.142744,0.723706,143372585.000000,0.145000
